web-scraper-order,web-scraper-start-url,name,review,review_content,time_published,owner_response,owner_response_time
"1583045461-1042","https://www.google.com/maps/place/Cal'z+Pizza+-+East+Little+Creek/@36.9181643,-76.2003157,17z/data=!3m1!4b1!4m10!1m2!2m1!1scalz+pizza!3m6!1s0x89ba914bb73fa53b:0x1301c924d4200997!8m2!3d36.91816!4d-76.198127!9m1!1b1","Jeanette Zeeb","<span jstcache=""293"" jsinstance=""0"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""5896""></span><span jstcache=""293"" jsinstance=""1"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""5895""></span><span jstcache=""293"" jsinstance=""2"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""5894""></span><span jstcache=""293"" jsinstance=""3"" class=""section-review-star"" jsan=""7.section-review-star"" wfd-id=""5893""></span><span jstcache=""293"" jsinstance=""*4"" class=""section-review-star"" jsan=""7.section-review-star"" wfd-id=""5892""></span>","It's ok","a year ago","Response from the owner","a year ago"
"1583045296-198","https://www.google.com/maps/place/Cal'z+Pizza/@36.8565404,-75.9934831,17z/data=!3m1!4b1!4m10!1m2!2m1!1scalz+pizza!3m6!1s0x89bae97d1367a93d:0xfda52320b605a9c9!8m2!3d36.8565361!4d-75.9912944!9m1!1b1","Deanna Frantzen","<span jstcache=""293"" jsinstance=""0"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""3197""></span><span jstcache=""293"" jsinstance=""1"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""3196""></span><span jstcache=""293"" jsinstance=""2"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""3195""></span><span jstcache=""293"" jsinstance=""3"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""3194""></span><span jstcache=""293"" jsinstance=""*4"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""3193""></span>","Great food and amazing staff","a year ago","null","null"
"1583045434-829","https://www.google.com/maps/place/Cal'z+Pizza/@36.8892982,-76.2401211,17z/data=!3m1!4b1!4m10!1m2!2m1!1scalz+pizza!3m6!1s0x89ba97105a1b04ff:0x7d78aae300af2ddc!8m2!3d36.8892939!4d-76.2379324!9m1!1b1","Monique Shontae","<span jstcache=""293"" jsinstance=""0"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""4349""></span><span jstcache=""293"" jsinstance=""1"" class=""section-review-star"" jsan=""7.section-review-star"" wfd-id=""4348""></span><span jstcache=""293"" jsinstance=""2"" class=""section-review-star"" jsan=""7.section-review-star"" wfd-id=""4347""></span><span jstcache=""293"" jsinstance=""3"" class=""section-review-star"" jsan=""7.section-review-star"" wfd-id=""4346""></span><span jstcache=""293"" jsinstance=""*4"" class=""section-review-star"" jsan=""7.section-review-star"" wfd-id=""4345""></span>","Order a tuna cheese sub Friday night.. It had NO cheese,large clumps of lettuce called back and received attitude from Megan.
Called back in the am,spoke with Andrew supposedly we lost connection,tried redialing several times and received a …","a year ago","null","null"
"1583045434-869","https://www.google.com/maps/place/Cal'z+Pizza/@36.8892982,-76.2401211,17z/data=!3m1!4b1!4m10!1m2!2m1!1scalz+pizza!3m6!1s0x89ba97105a1b04ff:0x7d78aae300af2ddc!8m2!3d36.8892939!4d-76.2379324!9m1!1b1","Annie Cheeks","<span jstcache=""293"" jsinstance=""0"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""7025""></span><span jstcache=""293"" jsinstance=""1"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""7024""></span><span jstcache=""293"" jsinstance=""2"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""7023""></span><span jstcache=""293"" jsinstance=""3"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""7022""></span><span jstcache=""293"" jsinstance=""*4"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""7021""></span>","Great service with a smile, the young man was very helpful with answering my questions Food was hot and delicious.","2 years ago","null","null"
"1583045434-899","https://www.google.com/maps/place/Cal'z+Pizza/@36.8892982,-76.2401211,17z/data=!3m1!4b1!4m10!1m2!2m1!1scalz+pizza!3m6!1s0x89ba97105a1b04ff:0x7d78aae300af2ddc!8m2!3d36.8892939!4d-76.2379324!9m1!1b1","mattthew kinnard","<span jstcache=""293"" jsinstance=""0"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""9251""></span><span jstcache=""293"" jsinstance=""1"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""9250""></span><span jstcache=""293"" jsinstance=""2"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""9249""></span><span jstcache=""293"" jsinstance=""3"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""9248""></span><span jstcache=""293"" jsinstance=""*4"" class=""section-review-star"" jsan=""7.section-review-star"" wfd-id=""9247""></span>","Good pizza","2 years ago","null","null"
"1583045394-689","https://www.google.com/maps/place/Cal'z+Pizza/@36.9340261,-76.2473017,17z/data=!3m1!4b1!4m10!1m2!2m1!1scalz+pizza!3m6!1s0x89ba90c702ded661:0x6332289ee5a67106!8m2!3d36.9340218!4d-76.245113!9m1!1b1","sherry neuman","<span jstcache=""293"" jsinstance=""0"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""1824""></span><span jstcache=""293"" jsinstance=""1"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""1823""></span><span jstcache=""293"" jsinstance=""2"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""1822""></span><span jstcache=""293"" jsinstance=""3"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""1821""></span><span jstcache=""293"" jsinstance=""*4"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""1820""></span>","Yummy..yummy...yummy","6 months ago","null","null"
"1583045434-941","https://www.google.com/maps/place/Cal'z+Pizza/@36.8892982,-76.2401211,17z/data=!3m1!4b1!4m10!1m2!2m1!1scalz+pizza!3m6!1s0x89ba97105a1b04ff:0x7d78aae300af2ddc!8m2!3d36.8892939!4d-76.2379324!9m1!1b1","Marko Daza","<span jstcache=""293"" jsinstance=""0"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""12400""></span><span jstcache=""293"" jsinstance=""1"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""12399""></span><span jstcache=""293"" jsinstance=""2"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""12398""></span><span jstcache=""293"" jsinstance=""3"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""12397""></span><span jstcache=""293"" jsinstance=""*4"" class=""section-review-star"" jsan=""7.section-review-star"" wfd-id=""12396""></span>","Good place","3 years ago","null","null"
"1583045349-389","https://www.google.com/maps/place/Cal'z+Pizza/@36.8024512,-76.0894311,17z/data=!3m1!4b1!4m10!1m2!2m1!1scalz+pizza!3m6!1s0x89babff66a22f545:0xd9ae9bde56bdfa53!8m2!3d36.8024469!4d-76.0872424!9m1!1b1","Mark McCracken","<span jstcache=""293"" jsinstance=""0"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""2221""></span><span jstcache=""293"" jsinstance=""1"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""2220""></span><span jstcache=""293"" jsinstance=""2"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""2219""></span><span jstcache=""293"" jsinstance=""3"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""2218""></span><span jstcache=""293"" jsinstance=""*4"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""2217""></span>","I have been eating cal'z for a very long time, im never disappointed with anything I get.","10 months ago","null","null"
"1583045254-11","https://www.google.com/maps/place/Cal'z+Pizza/@36.8547736,-76.1367094,17z/data=!3m1!4b1!4m10!1m2!2m1!1scalz+pizza!3m6!1s0x89ba95a8624cdb31:0x31448bd60ee441d3!8m2!3d36.8547693!4d-76.1345207!9m1!1b1","BMF","<span jstcache=""293"" jsinstance=""0"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""433""></span><span jstcache=""293"" jsinstance=""1"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""432""></span><span jstcache=""293"" jsinstance=""2"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""431""></span><span jstcache=""293"" jsinstance=""3"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""430""></span><span jstcache=""293"" jsinstance=""*4"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""429""></span>","Fantastically fresh pizza and outstanding service when ordering over the phone.","3 years ago","null","null"
"1583045394-738","https://www.google.com/maps/place/Cal'z+Pizza/@36.9340261,-76.2473017,17z/data=!3m1!4b1!4m10!1m2!2m1!1scalz+pizza!3m6!1s0x89ba90c702ded661:0x6332289ee5a67106!8m2!3d36.9340218!4d-76.245113!9m1!1b1","Nony Diaz","<span jstcache=""293"" jsinstance=""0"" class=""section-review-star section-review-star-active"" jsan=""7.section-review-star,7.section-review-star-active"" wfd-id=""4862""></span><span jstcache=""293"" jsinstance=""1"" class=""section-review-star"" jsan=""7.section-review-star"" wfd-id=""4861""></span><span jstcache=""293"" jsinstance=""2"" class=""section-review-star"" jsan=""7.section-review-star"" wfd-id=""4860""></span><span jstcache=""293"" jsinstance=""3"" class=""section-review-star"" jsan=""7.section-review-star"" wfd-id=""4859""></span><span jstcache=""293"" jsinstance=""*4"" class=""section-review-star"" jsan=""7.section-review-star"" wfd-id=""4858""></span>","I just order a cheesburger sub and i found a hair in my sub.so dissapointed !!!!","2 years ago","null","null"
